      Acolyte &               Druid &
LV    Necrolyte    Archer     Sorceror     Hunter    Rogue    Warrior
---------------------------------------------------------------------
 1)         0          0          0          0          0          0
 2)      1150       1125       1180       1125       1120       1125
 3)      3490       3240       3800       3240       3200       3240
 4)      9025       8025      10290       8025       7860       8025
 5)     20640      17890      24160      17890      17440      17890
 6)     42200      36000      50000      36000      35000      36000
 7)     78200      66300      93500      66300      64400      66300
 8)    134300     113400     161400     113400     109900     113400
 9)    216900     182600     261500     182600     177000     182600
10)    333500     280200     402700     280200     271500     280200
11)    492000     413000     595000     413000     400000     413000
12)    701800     588700     849600     588700     570100     588700
13)    972800     815600    1178400     815600     789600     815600
14)   1315900    1102800    1594900    1102800    1067600    1102800
15)   1742800    1460100    2113200    1460100    1413500    1460100
16)   2266200    1898300    2748800    1898300    1837500    1898300
17)   2899600    2428600    3518100    2428600    2350800    2428600
18)   3657600    3063100    4438700    3063100    2964800    3063100
19)   4555300    3814700    5529300    3814700    3692200    3814700
20)   5609100    4696900    6809500    4696900    4546000    4696900
21)   6836000    5724000    8300000    5724000    5540000    5724000
22)   8254100    6911200   10022900    6911200    6689000    6911200
23)   9882100    8274200   12001000    8274200    8008000    8274200
24)  11739900    9829700   14258400    9829700    9513300    9829700
25)  13848000   11594700   16820200   11594700   11221500   11594700
---------------------------------------------------------------------
                      *-*  Promotions  *-*
   High Priest   Master       Arch        Beast      Black     Knight
   Necromancer   Archer   Druid & Magus   Master     Guard

